Round,Date,Team 1,FT,Team 2
1,Fri Sep 11 2020,Watford FC,1-0,Middlesbrough FC
1,Sat Sep 12 2020,Birmingham City FC,1-0,Brentford FC
1,Sat Sep 12 2020,Wycombe Wanderers FC,0-1,Rotherham United FC
1,Sat Sep 12 2020,AFC Bournemouth,3-2,Blackburn Rovers FC
1,Sat Sep 12 2020,Bristol City FC,2-1,Coventry City FC
1,Sat Sep 12 2020,Cardiff City FC,0-2,Sheffield Wednesday FC
1,Sat Sep 12 2020,Derby County FC,0-2,Reading FC
1,Sat Sep 12 2020,Barnsley FC,0-1,Luton Town FC
1,Sat Sep 12 2020,Millwall FC,0-0,Stoke City FC
1,Sat Sep 12 2020,Huddersfield Town AFC,0-1,Norwich City FC
1,Sat Sep 12 2020,Preston North End FC,0-1,Swansea City FC
1,Sat Sep 12 2020,Queens Park Rangers FC,2-0,Nottingham Forest FC
2,Fri Sep 18 2020,Coventry City FC,3-2,Queens Park Rangers FC
2,Sat Sep 19 2020,Nottingham Forest FC,0-2,Cardiff City FC
2,Sat Sep 19 2020,Blackburn Rovers FC,5-0,Wycombe Wanderers FC
2,Sat Sep 19 2020,Brentford FC,3-0,Huddersfield Town AFC
2,Sat Sep 19 2020,Middlesbrough FC,1-1,AFC Bournemouth